date,close,high,low,volume
1999-10-08,38.94,39.5,37.25,2343000.0
1999-10-11,38.88,40.0,38.13,2074000.0
1999-10-12,38.81,40.25,38.5,2406000.0
1999-10-13,40.06,40.38,38.25,2112000.0
1999-10-14,39.06,39.81,38.69,2072000.0
1999-10-15,38.25,39.19,37.88,1945000.0
1999-10-18,38.19,38.5,37.5,1609400.0
1999-10-19,39.25,40.0,38.38,1620200.0
1999-10-20,39.25,39.5,38.56,1076900.0
1999-10-21,38.31,39.13,37.5,1213000.0
1999-10-22,39.06,39.19,37.06,2414000.0
1999-10-25,37.25,39.06,36.69,2034000.0
1999-10-26,37.69,38.25,36.81,1616100.0
1999-10-27,39.31,39.94,37.69,2011000.0
1999-10-28,40.31,40.63,39.94,1616000.0
1999-10-29,39.94,40.94,39.31,1599100.0
1999-11-01,37.69,40.0,37.0,1991000.0
1999-11-02,38.25,38.75,37.5,2405000.0
1999-11-03,40.0,40.0,38.5,1862000.0
1999-11-04,38.56,39.88,38.38,1339800.0
1999-11-05,37.94,39.25,37.31,1221300.0
1999-11-08,38.38,39.75,38.0,1736000.0
1999-11-09,39.25,39.56,38.5,1444600.0
1999-11-10,40.81,40.94,39.44,1917000.0
1999-11-11,41.88,42.19,40.94,2401000.0
1999-11-12,42.63,42.69,41.75,1517000.0
1999-11-15,42.31,43.06,41.88,1052600.0
1999-11-16,41.06,43.0,40.75,2339000.0
1999-11-17,40.44,41.94,40.25,2281000.0
1999-11-18,40.25,40.75,40.0,2850000.0
1999-11-19,39.0,39.69,39.0,2147000.0
1999-11-22,37.0,39.13,35.56,3850000.0
1999-11-23,35.42,37.0,34.88,4393000.0
1999-11-24,38.69,38.94,36.0,5577000.0
1999-11-26,37.75,38.63,37.75,1211800.0
1999-11-29,37.75,38.38,37.31,2645000.0
1999-11-30,38.06,38.25,37.5,3113000.0
1999-12-01,37.73,38.0,37.5,1401300.0
1999-12-02,37.88,38.06,37.5,1580100.0
1999-12-03,37.88,38.31,37.69,2394000.0
1999-12-06,37.63,37.75,37.44,1646000.0
1999-12-07,36.19,37.63,35.13,2349000.0
1999-12-08,36.44,37.06,35.56,1499700.0
1999-12-09,38.94,39.25,36.94,2325000.0
1999-12-10,37.44,39.0,37.06,1644000.0
1999-12-13,37.13,38.25,36.88,1403800.0
1999-12-14,36.63,38.25,36.19,2036000.0
1999-12-15,37.38,38.0,36.25,2621000.0
1999-12-16,37.0,37.63,36.38,2331000.0
1999-12-17,41.0,41.0,37.44,5103000.0
1999-12-20,40.5,41.63,40.0,2847000.0
1999-12-21,40.5,40.75,39.94,2032000.0
1999-12-22,40.25,40.94,39.94,1355200.0
1999-12-23,40.06,40.94,39.69,1598000.0
1999-12-27,42.69,43.38,40.69,2282000.0
1999-12-28,42.88,43.0,41.75,1488400.0
1999-12-29,43.31,44.25,42.25,1204400.0
1999-12-30,44.25,44.88,43.25,894300.0
1999-12-31,44.38,44.38,42.56,682100.0
2000-01-03,43.44,44.56,42.0,1770000.0
2000-01-04,42.5,43.13,41.38,2254000.0
2000-01-05,44.0,44.0,41.56,2231000.0
2000-01-06,47.94,49.63,43.75,4351000.0
2000-01-07,49.06,50.25,47.19,3567000.0
2000-01-10,47.31,49.31,46.88,1914000.0
2000-01-11,47.63,48.5,46.94,2561000.0
2000-01-12,51.5,52.5,47.13,4451000.0
2000-01-13,53.38,54.38,51.0,2960000.0
2000-01-14,56.38,57.19,53.44,3248000.0
2000-01-18,55.5,56.56,54.25,3736000.0
2000-01-19,53.5,55.75,52.63,2828000.0
2000-01-20,67.25,67.5,54.38,10810000.0
2000-01-21,71.63,73.06,70.0,13441000.0
2000-01-24,65.0,71.69,63.81,7484000.0
2000-01-25,61.25,65.31,59.0,4439000.0
2000-01-26,61.13,63.88,61.0,5194000.0
2000-01-27,61.0,62.63,60.0,2621000.0
2000-01-28,60.19,62.75,59.75,2828000.0
2000-01-31,67.88,67.88,59.44,4275000.0
2000-02-01,64.5,67.5,64.0,3446000.0
2000-02-02,62.88,66.81,62.69,2850000.0
2000-02-03,63.69,64.5,61.19,3014000.0
2000-02-04,61.75,66.44,61.56,2681000.0
2000-02-07,62.5,64.31,61.75,1686000.0
2000-02-08,66.13,67.19,63.75,2440000.0
2000-02-09,66.44,68.25,66.31,2604000.0
2000-02-10,67.63,69.69,67.13,2266000.0
2000-02-11,65.88,68.19,64.56,1277000.0
2000-02-14,67.81,68.44,66.19,1690000.0
2000-02-15,68.94,69.44,67.38,2033000.0
2000-02-16,69.88,70.75,68.94,2694000.0
2000-02-17,70.31,72.0,70.0,2303000.0
2000-02-18,69.19,70.5,68.56,3079000.0
2000-02-22,66.0,70.88,66.0,2807000.0
2000-02-23,65.44,66.19,64.5,2969000.0
2000-02-24,65.56,67.94,63.69,2577000.0
2000-02-25,65.63,67.69,62.0,2055000.0
2000-02-28,64.81,65.94,62.25,2052000.0
2000-02-29,68.75,69.5,64.81,2159000.0
2000-03-01,69.0,69.5,67.06,1896000.0
2000-03-02,68.38,69.38,67.81,2019000.0
2000-03-03,68.5,68.94,67.0,1483600.0
2000-03-06,68.75,70.69,67.63,2194000.0
2000-03-07,71.31,72.44,68.94,3495000.0
2000-03-08,67.19,69.63,66.0,3023000.0
2000-03-09,65.94,67.81,63.25,2392000.0
2000-03-10,68.13,69.94,67.0,3055000.0
2000-03-13,66.0,66.88,63.88,2231000.0
2000-03-14,65.19,66.0,64.19,2073000.0
2000-03-15,68.44,69.0,65.88,3000000.0
2000-03-16,69.44,69.69,67.19,2401000.0
2000-03-17,69.25,70.5,67.75,2560000.0
2000-03-20,68.56,71.44,68.31,1864000.0
2000-03-21,71.75,72.0,68.0,2503000.0
2000-03-22,75.06,76.5,71.5,5024000.0
2000-03-23,73.75,75.31,72.69,2638000.0
2000-03-24,72.0,74.25,70.44,1726000.0
2000-03-27,75.31,76.81,73.5,3344000.0
2000-03-28,72.81,76.44,72.81,2288000.0
2000-03-29,76.5,77.81,73.5,2495000.0
2000-03-30,72.06,78.06,71.75,3092000.0
2000-03-31,74.88,75.75,72.0,2931000.0
2000-04-03,73.56,76.88,73.56,2154000.0
2000-04-04,65.44,74.44,62.5,7280000.0
2000-04-05,66.56,68.38,64.81,3969000.0
2000-04-06,67.94,68.56,65.0,2909000.0
2000-04-07,69.94,70.94,69.25,2163000.0
2000-04-10,70.25,71.25,69.25,1865000.0
2000-04-11,68.31,70.5,67.25,2366000.0
2000-04-12,71.13,74.25,70.5,4339000.0
2000-04-13,73.81,74.0,70.88,3968000.0
2000-04-14,69.0,72.06,66.0,3336000.0
2000-04-17,65.75,68.25,63.0,3991000.0
2000-04-18,68.0,68.75,65.06,2656000.0
2000-04-19,70.5,71.5,67.0,3342000.0
2000-04-20,71.0,72.13,70.38,2564000.0
2000-04-24,70.5,71.0,69.13,1376700.0
2000-04-25,73.75,74.13,71.19,2704000.0
2000-04-26,72.94,74.69,72.06,1977000.0
2000-04-27,71.94,72.63,70.75,1778000.0
2000-04-28,69.69,73.0,69.5,1621300.0
2000-05-01,72.31,74.5,70.44,2317000.0
2000-05-02,76.0,76.94,73.56,3594000.0
2000-05-03,74.63,77.0,72.94,2349000.0
2000-05-04,74.38,75.25,73.38,1829000.0
2000-05-05,74.25,74.69,72.56,1185900.0
2000-05-08,75.13,76.25,73.06,1613300.0
2000-05-09,72.56,75.38,71.88,1777000.0
2000-05-10,74.75,75.81,72.63,3336000.0
2000-05-11,77.0,78.94,75.88,4277000.0
2000-05-12,75.56,78.44,74.0,3048000.0
2000-05-15,76.94,78.5,76.0,3145000.0
2000-05-16,77.88,78.75,76.5,2962000.0
2000-05-17,77.5,78.88,75.5,2507000.0
2000-05-18,77.13,78.69,76.19,2070000.0
2000-05-19,76.63,77.25,75.06,1803000.0
2000-05-22,73.25,77.31,72.56,2356000.0
2000-05-23,69.88,74.19,69.5,2189000.0
2000-05-24,67.44,69.88,66.13,4553000.0
2000-05-25,69.0,70.5,68.0,2462000.0
2000-05-26,69.94,71.06,69.13,1411700.0
2000-05-30,69.88,71.06,69.25,1294300.0
2000-05-31,72.88,73.94,70.25,2193000.0
2000-06-01,71.13,73.75,69.75,1673000.0
2000-06-02,69.5,73.31,69.25,2287000.0
2000-06-05,66.0,71.0,65.94,2923000.0
2000-06-06,70.19,71.81,68.06,3861000.0
2000-06-07,71.38,72.0,69.5,1801000.0
2000-06-08,73.06,73.13,71.5,1680000.0
2000-06-09,71.5,74.19,70.5,1348100.0
2000-06-12,73.25,73.56,71.25,1156200.0
2000-06-13,74.0,74.94,73.31,1804000.0
2000-06-14,72.0,74.0,70.19,2389000.0
2000-06-15,71.25,72.19,70.06,2284000.0
2000-06-16,71.59,71.94,70.06,2362000.0
2000-06-19,71.06,72.13,69.44,2215000.0
2000-06-20,72.69,73.0,69.5,2798000.0
